user_id,sias_1,sias_2,sias_3,sias_4,sias_5,sias_6,sias_7,sias_8,sias_9,sias_10,sias_11,sias_12,sias_13,sias_14,sias_15,sias_16,sias_17,sias_18,sias_19
3334247770,3,2,4,2,1,2,1,1,1,5,2,1,2,2,2,1,3,1,1
3294886377,3,4,2,2,3,2,2,2,1,5,3,1,3,3,3,2,1,2,1
3487119790,3,2,2,1,2,2,3,2,2,2,3,3,4,3,3,2,3,3,3
3346121179,3,2,5,2,3,3,2,3,2,3,4,2,3,4,3,3,4,4,3
3703107268,3,2,2,2,3,3,4,2,3,2,3,2,2,3,4,4,3,3,4
3208909600,4,3,4,4,4,4,4,2,3,1,4,3,2,4,4,4,3,4,4
3317719173,3,4,4,2,3,1,1,2,1,3,4,1,1,4,4,3,3,2,3
3920062595,2,3,3,2,1,3,2,2,1,3,3,1,1,3,2,2,3,2,3
3337769377,2,3,5,2,2,2,2,3,1,4,4,2,2,3,3,4,4,3,4
3278582193,4,3,3,2,4,3,3,2,2,3,4,4,5,3,4,5,4,3,4
3703293103,3,4,5,1,3,4,2,3,1,3,4,2,2,3,3,3,3,4,3
3331208683,3,2,2,2,3,2,2,3,2,4,3,1,2,3,3,3,3,2,4
3444258212,2,1,2,1,1,1,1,3,2,3,3,1,2,3,1,2,1,2,2
3890065938,5,2,5,2,4,3,4,3,2,2,4,5,2,5,3,5,4,2,5
3469730627,3,2,1,2,2,2,3,4,2,4,3,2,3,3,2,3,4,2,3
3311128391,3,1,2,2,2,1,1,3,2,3,2,2,2,2,2,2,1,1,2
3270624644,3,2,4,1,1,1,3,4,1,3,3,2,4,2,3,3,2,2,2
3280632529,2,1,3,2,1,2,2,4,2,4,1,1,1,2,2,2,3,3,3
3313382094,3,2,3,2,4,2,3,4,2,3,3,3,1,2,2,3,3,3,3
3460591283,4,1,4,2,3,2,2,3,2,3,4,2,2,4,3,5,3,3,3
3809075395,3,1,3,2,5,2,1,3,2,3,1,2,3,2,2,1,2,3,5
3332440775,3,1,5,1,1,1,1,4,1,4,1,2,1,1,1,1,1,1,1
3398964382,2,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1
3348106800,3,3,3,2,1,1,2,3,2,3,2,2,2,2,3,3,1,2,4
3469464166,4,2,3,4,4,5,5,1,4,2,4,1,2,4,4,4,3,4,3
3392465292,3,2,4,1,1,2,1,3,2,3,4,3,3,2,2,3,3,2,2
3335607912,3,3,2,3,4,2,2,2,3,3,4,3,3,2,4,3,3,3,4
3669301160,3,2,2,2,2,3,2,3,1,3,1,1,1,2,2,1,2,2,2
3314455802,3,1,2,1,1,2,1,4,1,3,3,1,2,2,3,2,2,2,2
3336846971,3,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2
3296113480,4,2,4,2,2,3,3,3,2,3,3,5,2,4,3,4,3,3,3
3921981520,3,3,1,3,2,2,1,3,2,3,4,2,3,3,3,4,5,4,4
3334741408,2,1,3,2,1,1,1,5,1,4,1,1,1,2,1,2,1,1,3
3665355105,3,1,1,1,1,1,1,3,1,3,1,2,2,1,1,2,2,1,2
3420798804,2,2,2,3,3,2,3,2,3,2,4,2,2,3,3,3,3,3,3
3383061603,2,2,3,1,1,2,1,3,2,3,3,3,3,2,2,3,2,2,3
3662125608,4,3,4,1,2,2,1,4,2,4,1,3,1,1,3,1,2,1,1
3392736399,2,1,2,1,1,1,2,2,1,4,2,1,2,2,2,3,3,2,1
3493224825,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,1,1,2
3246292649,5,4,3,5,5,5,5,1,4,3,4,4,3,5,5,5,4,5,5
3665244090,3,1,5,2,4,2,1,4,1,3,2,3,2,3,2,3,3,2,4
3389126365,5,2,3,3,2,2,2,3,2,3,5,3,3,2,3,4,4,3,3
3938867612,5,4,5,5,4,4,4,2,5,1,4,2,2,3,3,3,4,5,5
3407230127,4,4,2,2,3,4,4,3,2,2,5,5,3,5,5,5,5,3,4
3895730674,3,3,2,3,2,3,3,4,2,2,5,3,4,4,3,4,2,4,5
3663738920,5,5,3,5,4,5,5,1,5,5,5,5,3,5,5,5,5,5,5
