subj_idx,rank,control_1,context_1,epoch,rt,mood,response,feedback,split_by,q_init,trial,trial_in_block,fmood
1,1,2,-11,epoc1,0.714,18,0,0,0,0.5,1,1,high
1,1,2,-11,epoc1,1.179,18,0,0,0,0.5,2,2,high
1,1,2,-11,epoc1,0.514,18,0,0,0,0.5,3,3,high
1,1,2,-11,epoc1,0.623,18,0,0,0,0.5,4,4,high
1,1,2,-11,epoc1,0.65,18,1,0,0,0.5,5,5,high
1,1,2,-11,epoc1,1.091,18,1,0,0,0.5,6,6,high
1,1,2,-11,epoc1,0.546,18,1,1,0,0.5,7,7,high
1,1,2,-11,epoc1,3.11,18,0,0,0,0.5,8,8,high
1,1,2,-11,epoc1,0.736,18,1,1,0,0.5,9,9,high
1,1,2,-11,epoc1,2.065,18,0,0,0,0.5,10,10,high
1,1,2,-11,epoc1,0.946,18,0,0,0,0.5,11,11,high
1,1,2,-11,epoc1,0.921,18,1,1,0,0.5,12,12,high
1,1,2,-11,epoc1,0.626,18,1,1,0,0.5,13,13,high
1,1,2,-11,epoc1,0.655,18,0,1,0,0.5,14,14,high
1,1,2,-11,epoc1,0.807,18,0,0,0,0.5,15,15,high
1,1,2,-11,epoc2,0.526,18,1,0,0,0.5,16,16,high
1,1,2,-11,epoc2,0.505,18,0,1,0,0.5,17,17,high
1,1,2,-11,epoc2,0.482,18,0,1,0,0.5,18,18,high
1,1,2,-11,epoc2,0.406,18,0,1,0,0.5,19,19,high
1,1,2,-11,epoc2,0.463,18,0,1,0,0.5,20,20,high
1,1,2,-11,epoc2,1,18,0,1,0,0.5,21,21,high
1,1,2,-11,epoc2,0.728,18,1,1,0,0.5,22,22,high
1,1,2,-11,epoc2,15,18,0,1,0,0.5,23,23,high
1,1,2,-11,epoc2,0.706,18,0,1,0,0.5,24,24,high
1,1,2,-11,epoc2,0.593,18,0,1,0,0.5,25,25,high
1,1,2,-11,epoc2,3.311,18,1,1,0,0.5,26,26,high
1,1,2,-11,epoc2,0.847,18,0,0,0,0.5,27,27,high
1,1,2,-11,epoc2,1.604,18,0,1,0,0.5,28,28,high
1,1,2,-11,epoc2,1.554,18,0,1,0,0.5,29,29,high
1,1,2,-11,epoc2,0.609,18,0,1,0,0.5,30,30,high
2,1,4,23,epoc1,12.095,0,1,1,0,0.5,1,1,med
2,1,4,23,epoc1,5.601,0,0,0,0,0.5,2,2,med
2,1,4,23,epoc1,3.258,0,0,1,0,0.5,3,3,med
2,1,4,23,epoc1,4.345,0,0,1,0,0.5,4,4,med
2,1,4,23,epoc1,4.755,0,0,0,0,0.5,5,5,med
2,1,4,23,epoc1,2.236,0,0,1,0,0.5,6,6,med
2,1,4,23,epoc1,5.363,0,0,0,0,0.5,7,7,med
2,1,4,23,epoc1,3.414,0,0,0,0,0.5,8,8,med
2,1,4,23,epoc1,2.195,0,0,0,0,0.5,9,9,med
2,1,4,23,epoc1,1.892,0,0,0,0,0.5,10,10,med
2,1,4,23,epoc1,1.75,0,0,0,0,0.5,11,11,med
2,1,4,23,epoc1,1.198,0,1,1,0,0.5,12,12,med
2,1,4,23,epoc1,1.826,0,0,0,0,0.5,13,13,med
2,1,4,23,epoc1,1.561,0,0,0,0,0.5,14,14,med
2,1,4,23,epoc1,1.496,0,0,0,0,0.5,15,15,med
2,1,4,23,epoc2,7.318,0,0,0,0,0.5,16,16,med
2,1,4,23,epoc2,3.389,0,0,1,0,0.5,17,17,med
2,1,4,23,epoc2,2.71,0,1,0,0,0.5,18,18,med
2,1,4,23,epoc2,1.305,0,0,1,0,0.5,19,19,med
2,1,4,23,epoc2,3.491,0,0,1,0,0.5,20,20,med
2,1,4,23,epoc2,1.623,0,0,1,0,0.5,21,21,med
2,1,4,23,epoc2,1.119,0,1,0,0,0.5,22,22,med
2,1,4,23,epoc2,4.89,0,0,1,0,0.5,23,23,med
2,1,4,23,epoc2,8.55,0,0,0,0,0.5,24,24,med
2,1,4,23,epoc2,7.486,0,0,1,0,0.5,25,25,med
2,1,4,23,epoc2,4.34,0,0,1,0,0.5,26,26,med
2,1,4,23,epoc2,1.517,0,0,1,0,0.5,27,27,med
2,1,4,23,epoc2,1.316,0,0,1,0,0.5,28,28,med
2,1,4,23,epoc2,3.654,0,0,0,0,0.5,29,29,med
2,1,4,23,epoc2,5.871,0,0,1,0,0.5,30,30,med
2,2,5,-21,epoc1,3.369,0,0,0,0,0.5,31,1,med
2,2,5,-21,epoc1,1.03,0,0,0,0,0.5,32,2,med
2,2,5,-21,epoc1,1.298,0,0,1,0,0.5,33,3,med
2,2,5,-21,epoc1,2.628,0,1,0,0,0.5,34,4,med
2,2,5,-21,epoc1,1.675,0,1,1,0,0.5,35,5,med
2,2,5,-21,epoc1,1.375,0,0,0,0,0.5,36,6,med
2,2,5,-21,epoc1,1.044,0,1,1,0,0.5,37,7,med
2,2,5,-21,epoc1,0.835,0,1,1,0,0.5,38,8,med
2,2,5,-21,epoc1,1.434,0,1,1,0,0.5,39,9,med
2,2,5,-21,epoc1,0.862,0,0,0,0,0.5,40,10,med
2,2,5,-21,epoc1,1.475,0,0,1,0,0.5,41,11,med
2,2,5,-21,epoc1,2.346,0,0,0,0,0.5,42,12,med
2,2,5,-21,epoc1,1.72,0,0,0,0,0.5,43,13,med
2,2,5,-21,epoc1,1.61,0,0,0,0,0.5,44,14,med
2,2,5,-21,epoc1,4.41,0,1,1,0,0.5,45,15,med
2,2,5,-21,epoc2,3.952,0,0,1,0,0.5,46,16,med
2,2,5,-21,epoc2,2.139,0,0,1,0,0.5,47,17,med
2,2,5,-21,epoc2,2.133,0,0,0,0,0.5,48,18,med
2,2,5,-21,epoc2,1.984,0,0,1,0,0.5,49,19,med
2,2,5,-21,epoc2,2.045,0,0,1,0,0.5,50,20,med
2,2,5,-21,epoc2,2.192,0,0,1,0,0.5,51,21,med
2,2,5,-21,epoc2,2.508,0,0,0,0,0.5,52,22,med
2,2,5,-21,epoc2,1.353,0,0,1,0,0.5,53,23,med
2,2,5,-21,epoc2,2.216,0,0,1,0,0.5,54,24,med
2,2,5,-21,epoc2,0.818,0,1,0,0,0.5,55,25,med
2,2,5,-21,epoc2,1.31,0,0,1,0,0.5,56,26,med
2,2,5,-21,epoc2,1.923,0,0,1,0,0.5,57,27,med
2,2,5,-21,epoc2,1.707,0,0,0,0,0.5,58,28,med
2,2,5,-21,epoc2,1.822,0,0,1,0,0.5,59,29,med
2,2,5,-21,epoc2,1.357,0,0,1,0,0.5,60,30,med
3,1,2,27,epoc1,5.955,0,1,1,0,0.5,1,1,med
3,1,2,27,epoc1,4.285,0,1,1,0,0.5,2,2,med
3,1,2,27,epoc1,3.578,0,1,0,0,0.5,3,3,med
